,Document,Category,T1,T2,T3,T4,T5,T6
12,"Activity-based costing system, commonly known as the ABC system, emerged as a costing method capable of overcoming the limitations of traditional costing systems in face of economic and technological developments, namely, the arbitrary and imprecise allocation of indirect costs from distortions in the imputation criteria. In the current context, the development of an adequate costing system is of extreme importance in organisations because they feel the need to properly manage the resources at their disposal and control their costs to achieve efficient and effective management. Thus, this study aims to analyse international publications on the activity-based costing system in recent years, identifying trends in evolution and future research opportunities. Based on bibliometric techniques, the outputs obtained in theWeb of Science (n = 752) and Scopus (n = 1107) databases were analysed in bibliometrix R package to make a systematic mapping and review of the literature. After removing duplicates, we obtained a final output of 1419 articles. The analysis of these publications points to a growing trend in the publication of articles on ABC, highlighting publications in partnership and their dispersion in magazines from different areas. The bibliometric analysis carried out results on the authors’ global research performance over time, and we highlighted the pioneering publications every five years and analysed the general evolution. When analysing based on publication authors over time, we highlighted the main research themes and countries where studies had been carried out. On the other hand, we also highlighted the collaborative network between institutions, authors, and countries over time. ",Social Sciences & Humanities,0.032,-0.04,-0.02,-0.021,-0.006,-0.022
13,"Adequate management of intellectual property (IP) is critical to sustaining competitive advantage and managing outbound Open Innovation, which describes the inside-out flows of knowledge and technology. This article presents an IP strategic framework comprising the following strategies: a ‘defensive’ strategy, aimed at avoiding knowledge spillovers and building barriers to competition; a ‘collaborative’ strategy, aimed at collaborating with other organizations and entering new markets; and an ‘impromptu’ strategy, which describes firms protecting their IP without a clear purpose. We investigate the relationships of such IP strategies with outbound OI and innovation performance in 158 Italian firms. Most of them declared an impromptu IP strategy. We found that not having any IP protection strategy can be a barrier to outbound OI and that firms with a defensive IP strategy embraced outbound OI more than those declaring a collaborative IP strategy. Finally, firms with collaborative IP strategies outperformed those with defensive strategies. ",Social Sciences & Humanities,0.038,0.044,0.042,0.018,0.039,0.054
14,"Advancements in information technology (IT) have made organizational boundaries so porous, thereby resulting in a trend toward leveraging external knowledge for innovation. However, firms experience significant obstacles in drawing external knowledge. This study aims to disentangle the role of IT-enabled absorptive capacity in new product development performance. The research model was tested with survey data of Open Innovation projects from 152 firms. Our findings indicate that IT-enabled absorptive capability improves Open Innovation project performance in terms of new product innovativeness and product speed to market, but we do not detect a significant direct influence of openness on performance. Our findings also show that the interaction of IT-enabled absorptive capacity and ideation openness significantly amplifies new product innovativeness while the interaction of IT-enabled absorptive capacity and implementation openness accelerates the product speed to market. This study theoretically contributes by building an IT-enabled absorptive capacity theory in the Open Innovation context and uncovering the effects of two dimensions of openness. In practice, it offers managers strategies to successfully conduct Open Innovation projects in deploying effective ITs and leveraging various types of openness during the two phases. ",Social Sciences & Humanities,0.049,0.025,-0.014,-0.002,-0.064,0.014
15,"Advances in information technology (IT) have enabled firms to increasingly rely on Open Innovation. Although researchers and practitioners are interested in this phenomenon, there is a lack of theoretically driven research on how IT impacts organizational Open Innovation performance. Drawing on the strategic IT alignment perspective and related literature, we proposed a model to explain the performance of organizational Open Innovation; i.e., the alignment between IT strategies and the openness of Open Innovation strategies results in different outcomes for Open Innovation. Through the analysis of data from 225 firms in China, we found that the alignment between IT flexibility and breadth enhances innovation radicalness and innovation volume, whereas the alignment between IT integration and depth positively affects innovation volume only. Innovation volume and radicalness were found to enhance organizational performance in terms of sales growth. Our study contributes to the literature on Open Innovation and strategic alignment. Its findings also have important managerial implications for practitioners. ",Social Sciences & Humanities,0.03,0.023,0.006,-0.022,-0.031,0.017
16,"Although Open Innovation has become increasingly established in the management literature, comprehensive theoretical explanations of what drives firms to be open are sparse. Taking the perspective of the behavioral theory of the firm, we conceive of Open Innovation as a form of nonlocal search, arguing that firms will turn to Open Innovation when substantially under- or over-performing relative to their aspirations. We further enquire how this relationship is moderated by firm-specific innovation-related resources: human capital, research and development investment, and patents. Employing a representative survey of UK firms, we find some evidence of moderation, allowing us to present explanations of search through Open Innovation and contribute to the behavioral theory of the firm itself. ",Social Sciences & Humanities,0.027,0.065,0.008,-0.007,0.044,-0.048
17,"Although public support for innovation is one of the main contemporary topics in innovation management and even economic and industrial development, there are no recent studies that have consolidated and analyzed the publications on the topic, especially from the perspective of Open Innovation. Therefore, the objective of this article is to contribute to the field by assessing what types of public practices for innovation comprise the term ""public support for innovation'' and its relationship with OI. To achieve these objectives, we conducted a systematic review and qualitative analysis of 121 articles. Our results reveal that (i) the use of the term ""public support for innovation'' is emerging in innovation management and innovation policies; (ii) there are differences in research approaches that focus on ""innovation policy'' and ""public support for innovation''; and (iii) the OI is used more than management theories to analyze public support for innovation. Furthermore, our results indicate that public support for innovation can be analyzed from four dimensions: (i) financial support for R&D activities; (ii) development through innovation; (iii) support for sectorial programs; and (iv) university–industry–government collaboration (triple helix). ",Social Sciences & Humanities,0.028,-0.046,0.012,-0.022,0.021,-0.013
18,"Although there is increasing interest in exploring Open Innovation in developing countries, the conceptual and potential applications of using Open Innovation in the small to medium enterprise sector are rarely explored. Since SMEs often have a dominant impact on national economies, their innovative potential should not be neglected. While SMEs in developed countries have learned how to innovate, SMEs in developing countries face a range of obstacles that hinder them from innovating as much as they could. This paper suggests that in these cases a government agency, using innovation hubs, could help SMEs to connect, communicate and collaborate with independent inventors and other parties to jumpstart innovation practices. A joint innovation model is presented to address known issues and a number of cases from developing countries are summarized to test the model. ",Social Sciences & Humanities,0.013,-0.018,-0.005,-0.02,-0.004,-0.016
19,"Among the hot research topics, Fintech is leading the trend in terms of the newest technology applications. The relatively new emerging paradigms in various sciences, such as geometry (fractals), physics (quantum), and database systems (distributed ledger—blockchain), seem to potentially contribute to a greater shift in the framework of the finance industry, bringing also some concerns (cyber-threats). Consistent and extensive investigation of the reasonable potential impact of these new models (and their underlying technologies) is performed, and then tested through a SWOT analysis, as the main objective of this research. Threats and opportunities are always intrinsically driven by the introduction of technological advancements (revolutions). This research confirms that information availability and the increasing interconnection of crosswise applications of each discovery to the different fields of science is determining the rapid succession of revolutions identified by evident large shifts in economic paradigms. The growing computing capacity and the development of increasingly powerful predictive software are leading to a competitive, extremely dynamic, and challenging system. In this context, as shown by history, there is a high possibility of market concentration in which, however, only a few corporations—digital giants—can afford to develop these technologies, consolidating their dominance. ",Social Sciences & Humanities,0.023,-0.019,-0.031,-0.035,0.027,0.055
20,"An important and intriguing aspect of e-entrepreneurship is the formation of new ventures in the domain of open source software (OSS). Previous research on these ventures has primarily looked at the design of business models. The purpose of this paper is to explore how three key challenges of venture management - the liabilities of newness and smallness of start-ups and market entry barriers - affect new ventures in OSS. Based on empirical data from personal interviews and a large scale survey, we find that several liabilities that are typically discussed in the entrepreneurship literature are much less of a challenge for new ventures in OSS. Our findings have implications for the emerging theory on e-entrepreneurship and for entrepreneurs considering to exploit business opportunities based on OSS and on Open Innovation in general. ",Social Sciences & Humanities,0.019,-0.023,-0.015,-0.014,0.005,-0.012
21,"An innovation capitalist can help companies manage the organizational and managerial challenges inherent in sourcing innovation externally. Innovation capitalists are innovation intermediaries; they mediate large fi rms' interactions with external sources of innovation. In particular, innovation capitalists seek out promising new ideas from independent inventors and other sources, invest in those ideas to transform them into market-ready concepts, and sell (or license) the related intellectual property to large client fi rms. Drawing on a case study of an innovation capitalist fi rm that focuses on sourcing ideas and technologies from universities and national labs and placing them in large global technology companies, the article suggests organizational strategies and practices that can enhance the success of Open Innovation initiatives involving innovation intermediaries.",Social Sciences & Humanities,0.017,-0.003,-0.024,-0.011,0.009,0.033
22,"As a result of the Open Innovation dissemination, the necessity of Open Innovation is being magnified in the theory of national innovation system. Nevertheless, research on the relationship between the Open Innovation and national innovation system is insufficient so far. Therefore, this research aims to analyze the Open Innovation cases of Roman era with the framework of national innovation system. We discovered and analyzed the case of Roman era such as Acquisition, In-sourcing, Collaboration, User innovation and Spin-off among the several type of Open Innovation. We expect that this research can help the establishment of future national innovation policy. ",Social Sciences & Humanities,0.013,-0.02,-0.013,-0.009,0.006,-0.011
23,"As part of the Open Government Initiative, the Barack Obama administration has called for new forms of collaboration with stakeholders to increase the innovativeness of public service delivery. Federal managers are employing a new policy instrument called Challenge.gov to implement Open Innovation concepts invented in the private sector to crowdsource solutions from previously untapped problem solvers and to leverage collective intelligence to tackle complex social and technical public management problems. The authors highlight the work conducted by the Office of Citizen Services and Innovative Technologies at the General Services Administration, the administrator of the Challenge.gov platform. Specifically, this Administrative Profile features the work of Tammi Marcoullier, program manager for Challenge.gov, and Karen Trebon, deputy program manager, and their role as change agents who mediate collaborative practices between policy makers and public agencies as they navigate the political and legal environments of their local agencies. The profile provides insights into the implementation process of crowdsourcing solutions for public management problems, as well as lessons learned for designing Open Innovation processes in the public sector. ",Social Sciences & Humanities,0.02,-0.031,-0.028,-0.016,0.02,-0.004
24,"As the argument regarding the effect of firm size on the effectiveness of innovation continues, the particularities of Open Innovation from the perspective of emerging market small and medium enterprises (EM SMEs) must be addressed. We propose a network framework by bridging the resource-based view and the social network perspective with their respective emphases on the importance of EM SME innovation capacity. Specifically, we address this gap by exploring the incidence of and trends toward Open Innovation, using a survey data of 420 innovative SMEs of China. Our study supports Open Innovation from the social network perspective and shows the Open Innovation of considering important choices for SMEs in the emerging market setting. Our analyses of Chinese SMEs data largely support our theoretical framework and demonstrate the importance of factors across firm characteristics (innovation capacity and innovation barriers), network openness, and network information in understanding Open Innovation in EM SMEs. ",Social Sciences & Humanities,0.027,0.011,-0.002,-0.024,-0.012,-0.043
25,"As the concept of co-creation has evolved in the innovation management literature its meaning has become ambiguous and the boundaries between it and the concept of Open Innovation have become opaque. The purpose of this paper is to more clearly define the concept of co-creation and to articulate how it differs from and relates to the concept of Open Innovation. Scholars are divided as to whether co-creation is a subsidiary concept of Open Innovation, a surrogate concept that is essentially indistinguishable from Open Innovation, or a separate concept that developed independently but was subsequently intermingled and interfused with Open Innovation. This paper addresses this scholarly confusion by conducting a systematic two-stage review of the innovation management literature, commencing with of a ‘broad brush’ bibliometric analysis, focused on the origins and evolution of co-creation and Open Innovation, followed by a ‘deep dive’ literature review in which the two concepts were rigorously compared. By proposing a cogent definition and taxonomy of co-creation, and thereby distinguishing it from Open Innovation, the paper goes beyond the current state of the literature and provides a more robust basis for future research. ",Social Sciences & Humanities,0.018,-0.025,-0.011,-0.006,0.016,-0.008
26,"As the creative economy has developed, the university has been given an important role of nurturing creative talents that companies desire to have. The most important objective in creative education is to provide a support system and a good environment for fostering creativity. This will help students in obtaining results and profits through experimenting as well as gaining experience in each step of the process in performing innovation by developing their ideas through utilizing self-directed information and knowledge. There are various creative economy-related businesses being conducted in Korea, which have been supported by the government since 2008, the supporting environment has been constructed to utilize the internal and external systems of universities. However, there are a number of cases where supporting projects that are possible to utilize are overlapping each other or support for projects is not available, as these sorts of supporting systems are designed according to the purpose and drawing performances for each business. For this, creating a ""student customized innovation model"" has been attempted by linking internal and external support for universities with a process of steps from design thinking to commercialization. The education model in universities should be established by balancing the roles and needs of enterprises, universities, and governments. An Open Innovation based system should be built for students who are being nurtured the university. The research method for this is as follows: First, the research aim was determined by considering the relationship between creative economy and the concept of Open Innovation. Second, a new model was developed by analyzing and doing case investigation of university convergence education programs that nurtured creativity. Third, this proposed model (CHEESE program (CHEESE Program stands for Creativity Human Emotional Experience Solution Evaluation)) was customized and designed based on the linkages between the creative education programs and open-innovation. Then, the outcomes from the project's three years test run were analyzed and organized. The development of the model was intended for design-engineering students based on integrating design-engineering thinking and activities in the process of innovation. The main objective of this study was to create a model (CHEESE program) based on the needs-centered activities that students wanted. This model has been restructured by linking the model with internal and external supporting projects of the university. The model has achieved continuous growth for 3 years and the performance has been improved in various aspects, such as patents, competition awards, and exhibition presentations. This project has drawn meaningful results in terms of experiencing the whole process of innovation, from the stage of determining an idea to making a prototype and commercializing it thorough exchanges with the internal and external systems of the university. ",Social Sciences & Humanities,0.071,-0.079,-0.098,-0.069,-0.029,-0.007
27,"As the fintech industry grows around the world, regulatory issues continue to be a hot topic within the industry. To overcome regulatory barriers of the fintech industry, regulatory sandboxes have been adopted. The regulatory sandboxes are beneficial to create a fintech ecosystem, but their effectiveness has not been empirically supported. This study aims to find the expected effects of regulatory sandboxes on fintech venture investments empirically. We conducted an analysis using a country-level comparative research method. To analyze it, we selected nine forerunning countries which have initially adopted regulatory sandboxes. For the purpose of validations, a comparative analysis and a regression analysis were conducted. In the results, we found that the adoption of regulatory sandboxes had very positive influences on the growth of the fintech venture investment. The results implied that regulatory sandboxes may play a vital role in increasing the influx of venture capital into the fintech venture ecosystem by removing regulatory uncertainty. The findings of this research contribute to providing the empirical evidences to policy makers in interpretations of the positive impact of regulatory sandboxes. ",Social Sciences & Humanities,0.022,-0.018,-0.008,-0.024,-0.011,-0.005
28,"As the number of Internet of Things (IoT) devices increases, services expand and illegal hacking and infringement methods become more sophisticated, an effective solution for blockchain technology is required as a fundamental solution to security threats. In this paper, we develop the security module of an IoT device based on blockchain technology that blocks hacking and information infringement and forms a multi-security blockchain system between the IoT device and the user device and we develop a user application. We contribute to addressing the security threats faced by IoT application services by developing a new method. In particular, we present some schemes for the development of a multi-security certification system based on blockchain for IoT security. ",Social Sciences & Humanities,0.011,-0.009,-0.018,-0.012,0.014,0.035
29,"As the paradigm of Open Innovation continues to proliferate in both academia and practice especially for the last decade, many studies have attempted to investigate patterns of Open Innovation. However, empirical and quantitative approaches to monitoring the patterns of Open Innovation are less conducted because of the difficulty in data collection and the lack of effective methods. Also, it is difficult to identify the patterns of Open Innovation when there are many cases of Open Innovation in a wide range of technology areas. In this respect, this paper aims to quantitatively monitor the patterns of Open Innovation using the patent-based brokerage analysis in the case of mobile communications technology. Using patent citation information, the knowledge flow between technology fields and firms is identified, especially for structuring the Open Innovation network of 5G technology. Then, the patent-based brokerage analysis based on the Open Innovation network is conducted to extract brokerage patents that present the patterns of Open Innovation: inbound and outbound innovation. Furthermore, the brokerage firms are explored to recommend the partnerships in the Open Innovation network. According to the results, it is expected that “strategy for Open Innovation dynamics” is systematically formulated based on the brokerage patents and partners in various technology areas. ",Social Sciences & Humanities,0.036,0.018,-0.021,-0.016,0.04,0.066
30,"As with all new ideas, the concept of Open Innovation requires extensive empirical investigation, testing and development. This paper analyzes Procter and Gamble's 'Connect and Develop' strategy as a case study of the major organizational and technological changes associated with Open Innovation. It argues that although some of the organizational changes accompanying Open Innovation are beginning to be described in the literature, more analysis is warranted into the ways technological changes have facilitated Open Innovation strategies, particularly related to new product development. Information and communications technologies enable the exchange of distributed sources of information in the Open Innovation process. The case study shows that furthermore a suite of new technologies for data mining, simulation, prototyping and visual representation, what we call 'innovation technology', help to support Open Innovation in Procter and Gamble. The paper concludes with a suggested research agenda for furthering understanding of the role played by and consequences of this technology. ",Social Sciences & Humanities,0.03,-0.011,-0.03,-0.034,0.023,0.071
31,"At present, several virtual initiatives claim to be acting according to the open source software (OSS) arena, which is often deemed a role model for Open Innovation. Against this background, this research focuses on a comparative case study of two non-profit project networks that attempt to operate in line with the OSS phenomenon: Wikipedia, the online encyclopedia, and the development of an automobile, Open Source car. We show that many parallels to the OSS arena can be drawn in both cases. However, this analysis must be performed cautiously, as several factors limit the applicability of OSS principles to non-software-related arenas. We conclude with a discussion of implications for Open Innovation research and managerial practice. ",Social Sciences & Humanities,0.016,-0.02,-0.012,-0.016,0.006,-0.016
32,"Automotive Original Equipment Manufacturers (OEM) have historically invested in their own research and development (R&D) to boost their innovativeness. Because of an increasing innovation and cost pressure, the automotive industry needs to look outside their own boundaries to escape from this productivity dilemma. While there is a tendency to look outside for external sources to increase the innovativeness, there are hardly any external paths to market outside the current business yet. Our study shows that Open Innovation proves to be more adequate in the attempt to achieve a better R&D productivity for companies in the automotive industry than a closed innovation model. ",Social Sciences & Humanities,0.013,-0.007,-0.014,-0.011,-0.004,0.009
33,"Background/Objective: The Chinese government is actively developing the rural economy and promoting the poverty alleviation campaign. The economic development of the traditional agricultural areas is essential to people’s basic livelihood and social stability. The tourism industry has been proven to be an effective approach to promote the regional economy. It has become a hot issue as to how to develop the tourism industry in rural areas. Methods/Statistical Analysis: Based on a corresponding index system, a coupling coordination model was established to explore the coupling and coordination development of the agricultural industry and the tourism industry in Henan province, a traditional agricultural area in China. Findings: The result revealed that although the coupling degree between the agricultural and the tourism industry from the year of 2009 to 2018 is relatively stable, the coordination degree shows a continuous rising trend from 0.278 to 0.921. This indicated that the agricultural industry and the tourism industry in Henan province continues to interact with and influence each other, and the comprehensive development level and the coordination degree of the two industries have been constantly improved. Implications: From the result, it can be seen that the integration development of the agricultural industry and the tourism industry could be a new path to develop the economy of rural areas. From the perspective of sustainable development, suggestions are proposed to optimize the agricultural industrial structure, extend tourism industry chain and construct support policy to develop a sustainable mode of the agricultural industry and the tourism industry. ",Social Sciences & Humanities,0.029,-0.027,-0.038,-0.047,0.036,0.007
34,"Background: Despite recent successes at controlling malaria, progress has stalled with an estimated 219 million cases and 435,000 deaths in 2017 alone. Combined with emerging resistance to front line antimalarial therapies in Southeast Asia, there is an urgent need for new treatment options and novel approaches to halt the spread of malaria. Plasmodium, the parasite responsible for malaria propagates through mosquito transmission. This imposes an acute bottleneck on the parasite population and transmission-blocking interventions exploiting this vulnerability are recognized as vital for malaria elimination. Methods: 13,533 small molecules with known activity against Plasmodium falciparum asexual parasites were screened for additional transmission-blocking activity in an ex vivo Plasmodium berghei ookinete development assay. Active molecules were then counterscreened in dose response against HepG2 cells to determine their activity/cytotoxicity window and selected non-toxic representative molecules were fully profiled in a range of transmission and mosquito infection assays. Furthermore, the entire dataset was compared to other published screens of the same molecules against P. falciparum gametocytes and female gametogenesis. Results: 437 molecules inhibited P. berghei ookinete formation with an IC50 &lt; 10 μM. of which 273 showed &gt;10-fold parasite selectivity compared to activity against HepG2 cells. Active molecules grouped into 49 chemical clusters of three or more molecules, with 25 doublets and 94 singletons. Six molecules representing six major chemical scaffolds confirmed their transmission-blocking activity against P. falciparum male and female gametocytes and inhibited P. berghei oocyst formation in the standard membrane feeding assay at 1 μM. When screening data in the P. berghei development ookinete assay was compared to published screens of the same library in assays against P. falciparum gametocytes and female gametogenesis, it was established that each assay identified distinct, but partially overlapping subsets of transmission-blocking molecules. However, selected molecules unique to each assay show transmission-blocking activity in mosquito transmission assays. Conclusion: The P. berghei ookinete development assay is an excellent high throughput assay for efficiently identifying antimalarial molecules targeting early mosquito stage parasite development. Currently no high throughput transmission-blocking assay is capable of identifying all transmission-blocking molecules. ",Life Sciences,0.016,-0.013,-0.006,-0.021,-0.002,-0.003
